x,phi_uds,phi_cds
0,0,0
0.025,1.02237e-14,1.12201e-25
0.05,3.32271e-14,5.98403e-25
0.075,8.49847e-14,2.70528e-24
0.1,2.01439e-13,1.18351e-23
0.125,4.63462e-13,5.13975e-23
0.15,1.05301e-12,2.22835e-22
0.175,2.37951e-12,9.6573e-22
0.2,5.36411e-12,4.18494e-21
0.225,1.20795e-11,1.81349e-20
0.25,2.7189e-11,7.85845e-20
0.275,6.11856e-11,3.40533e-19
0.3,1.37678e-10,1.47564e-18
0.325,3.09785e-10,6.39445e-18
0.35,6.97027e-10,2.77093e-17
0.375,1.56832e-09,1.20074e-16
0.4,3.52873e-09,5.20319e-16
0.425,7.93966e-09,2.25472e-15
0.45,1.78642e-08,9.77043e-15
0.475,4.01945e-08,4.23385e-14
0.5,9.04377e-08,1.83467e-13
0.525,2.03485e-07,7.95024e-13
0.55,4.57841e-07,3.4451e-12
0.575,1.03014e-06,1.49288e-11
0.6,2.31782e-06,6.46914e-11
0.625,5.2151e-06,2.80329e-10
0.65,1.1734e-05,1.21476e-09
0.675,2.64014e-05,5.26396e-09
0.7,5.94032e-05,2.28105e-08
0.725,0.000133657,9.88455e-08
0.75,0.000300729,4.28331e-07
0.775,0.000676639,1.8561e-06
0.8,0.00152244,8.0431e-06
0.825,0.00342549,3.48534e-05
0.85,0.00770735,0.000151031
0.875,0.0173415,0.00065447
0.9,0.0390184,0.00283604
0.925,0.0877915,0.0122895
0.95,0.197531,0.0532544
0.975,0.444444,0.230769
1,1,1
